"","num","A_Sales_Year","A_Sales_Value"
"1","50299410","09/13/1979","$0"
"2","50299410","04/12/1963","$0"
"3","50299410","05/29/1961","$0"
"4","50299400","09/13/1979","$0"
"5","50299400","09/13/1979","$0"
"6","50466800","06/29/2009","$177,000"
"7","50466800","12/26/2001","$0"
"8","50466800","11/01/2001","$51,000"
"9","50466800","11/20/1997","$0"
"10","50466810","05/18/2011","$155,000"
"11","50466810","02/14/2008","$309,000"
"12","50466810","03/07/2006","$367,000"
"13","50466810","05/12/2005","$260,000"
"14","50466810","06/24/1985","$81,058"
"15","50466810","10/01/1984","$3,533,000"
"16","50466820","06/28/2001","$50,400"
"17","50466820","05/07/1985","$63,000"
"18","50466830","08/18/2006","$250,000"
"19","50466830","06/17/1985","$82,500"
"20","50466830","10/01/1984","$3,533,000"
"21","50466840","11/02/2004","$180,000"
"22","50466840","06/05/2003","$124,500"
"23","50466840","08/31/2001","$78,500"
"24","50466850","09/07/2018","$160,000"
"25","50466850","09/03/2004","$155,500"
"26","50466850","11/05/1996","$230,000"
"27","50466850","05/23/1995","$60,000"
"28","50466860","06/02/2023","$237,900"
"29","50466860","09/06/2019","$190,000"
"30","50466860","04/24/2007","$197,000"
"31","50466860","08/10/2004","$160,000"
"32","50466860","05/28/1985","$74,970"
"33","50466860","10/01/1984","$3,533,000"
"34","50466870","09/16/2024","$330,000"
"35","50466870","05/08/2024","$100,000"
"36","50466870","06/15/2022","$0"
"37","50466870","04/12/1999","$40,000"
"38","50466870","12/01/1994","$39,200"
"39","50466870","06/13/1985","$82,810"
"40","50466880","02/26/2021","$279,000"
"41","50466880","03/13/2014","$140,000"
"42","50466880","06/26/2013","$101,469"
"43","50466880","03/07/2005","$0"
"44","50466880","06/28/1985","$82,500"
"45","50466880","10/01/1984","$3,533,000"
"46","50466890","12/06/2023","$230,000"
"47","50466890","05/14/2020","$210,000"
"48","50466890","02/05/2019","$0"
"49","50466890","03/04/2014","$135,000"
"50","50466890","06/17/2011","$105,000"
"51","50466890","01/24/1992","$0"
"52","50466890","07/05/1985","$78,200"
"53","50466890","01/01/1942","$0"
"54","50466900","08/27/2020","$242,000"
"55","50466900","10/31/2014","$0"
"56","50466900","06/24/2005","$210,000"
"57","50466900","04/26/1985","$65,000"
"58","50466900","10/01/1984","$3,533,000"
"59","50466910","12/02/1991","$87,000"
"60","50466910","11/12/1987","$80,000"
"61","50466910","04/25/1985","$77,000"
"62","50466920","06/15/2004","$0"
"63","50466920","06/20/2001","$66,500"
"64","50466920","07/29/1997","$42,000"
"65","50466920","01/08/1997","$59,755"
"66","50466930","05/20/2020","$215,000"
