account_num,year_built,construction_quality,building_condition,hvac,building_type,gross_building_area,net_leasable_area
50466800,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466810,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466820,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466830,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466840,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466850,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466860,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466870,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466880,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466890,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466900,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466910,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466920,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466930,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466940,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466950,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466960,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466970,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466980,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50466990,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467000,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467010,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467020,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467030,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467040,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467050,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467060,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467070,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
50467080,1961,GOOD,GOOD,CENTRAL AIR TO AIR,CONDO > 3 STORIES,NA,NA
