num,sale_year,sale_price
50299410,9/13/1979,$0 
50299410,4/12/1963,$0 
50299410,5/29/1961,$0 
50299400,9/13/1979,$0 
50299400,9/13/1979,$0 
50466800,6/29/2009,"$177,000 "
50466800,12/26/2001,$0 
50466800,11/1/2001,"$51,000 "
50466800,11/20/1997,$0 
50466810,5/18/2011,"$155,000 "
50466810,2/14/2008,"$309,000 "
50466810,3/7/2006,"$367,000 "
50466810,5/12/2005,"$260,000 "
50466810,6/24/1985,"$81,058 "
50466810,10/1/1984,"$3,533,000 "
50466820,6/28/2001,"$50,400 "
50466820,5/7/1985,"$63,000 "
50466830,8/18/2006,"$250,000 "
50466830,6/17/1985,"$82,500 "
50466830,10/1/1984,"$3,533,000 "
50466840,11/2/2004,"$180,000 "
50466840,6/5/2003,"$124,500 "
50466840,8/31/2001,"$78,500 "
50466850,9/7/2018,"$160,000 "
50466850,9/3/2004,"$155,500 "
50466850,11/5/1996,"$230,000 "
50466850,5/23/1995,"$60,000 "
50466860,6/2/2023,"$237,900 "
50466860,9/6/2019,"$190,000 "
50466860,4/24/2007,"$197,000 "
50466860,8/10/2004,"$160,000 "
50466860,5/28/1985,"$74,970 "
50466860,10/1/1984,"$3,533,000 "
50466870,9/16/2024,"$330,000 "
50466870,5/8/2024,"$100,000 "
50466870,6/15/2022,$0 
50466870,4/12/1999,"$40,000 "
50466870,12/1/1994,"$39,200 "
50466870,6/13/1985,"$82,810 "
50466880,2/26/2021,"$279,000 "
50466880,3/13/2014,"$140,000 "
50466880,6/26/2013,"$101,469 "
50466880,3/7/2005,$0 
50466880,6/28/1985,"$82,500 "
50466880,10/1/1984,"$3,533,000 "
50466890,12/6/2023,"$230,000 "
50466890,5/14/2020,"$210,000 "
50466890,2/5/2019,$0 
50466890,3/4/2014,"$135,000 "
50466890,6/17/2011,"$105,000 "
50466890,1/24/1992,$0 
50466890,7/5/1985,"$78,200 "
50466890,1/1/1942,$0 
50466900,8/27/2020,"$242,000 "
50466900,10/31/2014,$0 
50466900,6/24/2005,"$210,000 "
50466900,4/26/1985,"$65,000 "
50466900,10/1/1984,"$3,533,000 "
50466910,12/2/1991,"$87,000 "
50466910,11/12/1987,"$80,000 "
50466910,4/25/1985,"$77,000 "
50466920,6/15/2004,$0 
50466920,6/20/2001,"$66,500 "
50466920,7/29/1997,"$42,000 "
50466920,1/8/1997,"$59,755 "
50466930,5/20/2020,"$215,000 "
50466930,4/12/2007,"$211,500 "
50466930,10/6/2005,$0 
50466930,1/29/2004,"$133,000 "
50466930,9/26/2003,"$85,000 "
50466940,9/8/2006,"$259,000 "
50466940,9/15/2003,"$115,000 "
50466940,6/7/1985,"$75,460 "
50466940,10/1/1984,"$3,533,000 "
50466950,5/27/2004,"$180,000 "
50466950,12/14/2000,"$80,000 "
50466950,7/24/1985,"$82,900 "
50466960,8/9/2010,$0 
50466960,8/6/2010,"$89,850 "
50466960,6/4/1985,"$32,640 "
50466960,10/1/1984,"$3,533,000 "
50466970,4/4/2014,"$143,900 "
50466970,10/1/2009,"$155,000 "
50466970,5/6/2004,"$135,000 "
50466970,1/9/1998,"$34,000 "
50466970,11/13/1996,"$40,600 "
50466980,1/31/2015,$0 
50466980,7/15/2005,"$225,000 "
50466980,7/18/2003,"$113,000 "
50466980,6/25/2000,$0 
50466990,5/8/2007,"$265,000 "
50466990,6/28/2006,"$240,000 "
50466990,1/26/2002,"$80,000 "
50466990,5/20/1998,$0 
50466990,5/20/1998,"$41,500 "
50467000,5/30/2003,"$83,000 "
50467000,5/31/2001,"$51,000 "
50467000,6/29/1990,"$67,300 "
50467010,7/2/2014,$0 
50467010,3/23/2007,"$195,000 "
50467010,7/29/2003,"$100,000 "
50467010,6/14/1985,"$62,565 "
50467010,10/1/1984,"$3,533,000 "
50467020,11/30/2005,"$270,000 "
50467020,7/30/2004,"$195,000 "
50467020,10/7/2003,"$100,000 "
50467030,7/3/2003,"$123,500 "
50467030,4/22/1994,"$81,000 "
50467030,6/8/1993,$0 
50467040,4/11/2005,"$196,850 "
50467040,10/22/2002,"$463,000 "
50467040,4/16/2002,"$57,000 "
50467050,5/5/2003,"$83,000 "
50467050,2/28/2001,"$54,000 "
50467050,6/29/1989,"$53,500 "
50467060,1/31/2022,"$270,000 "
50467060,3/30/1990,"$79,000 "
50467060,4/26/1985,"$78,000 "
50467060,10/1/1984,"$3,533,000 "
50467070,12/6/2017,"$207,000 "
50467070,8/30/2005,"$270,000 "
50467070,7/30/2003,"$126,500 "
50467070,7/18/1985,"$75,400 "
50467080,3/19/2021,"$238,000 "
50467080,2/25/2019,$0 
50467080,4/11/2005,"$190,500 "
50467080,10/22/2002,"$463,000 "
50467080,4/16/2002,"$57,000 "
50467090,12/27/2001,"$84,000 "
50467090,7/13/2000,"$38,000 "
50467090,7/13/2000,"$38,000 "
50467100,2/20/2018,$0 
50467100,2/9/2005,"$175,000 "
50467100,10/8/2002,"$30,000 "
50467100,6/6/1985,"$66,000 "
50467110,3/6/2023,"$225,000 "
50467110,7/13/2020,"$220,000 "
50467110,9/30/2005,"$218,900 "
50467110,3/23/2005,"$170,000 "
50467110,10/22/2002,"$463,000 "
50467120,3/16/2022,"$315,000 "
50467120,5/29/2019,"$250,000 "
50467120,6/25/2003,"$127,000 "
50467120,12/23/1997,$0 
50467120,5/29/1985,"$77,600 "
50467130,9/11/2008,"$133,000 "
50467130,4/18/2008,"$164,000 "
50467130,3/6/2006,"$225,000 "
50467130,5/16/1997,$0 
50467130,8/16/1991,$0 
50467130,4/23/1990,"$53,600 "
50467140,12/13/2010,$0 
50467140,4/11/2005,"$180,000 "
50467140,10/22/2002,"$463,000 "
50467140,5/17/2002,"$55,000 "
50467150,2/15/2012,"$112,000 "
50467150,8/26/2011,"$139,622 "
50467150,5/31/2005,"$211,075 "
50467150,5/13/2003,"$75,000 "
50467150,7/9/1991,$0 
50467160,9/7/2001,"$79,500 "
50467160,5/16/1986,"$32,100 "
50467160,7/18/1985,$0 
50467170,9/2/2017,$0 
50467170,11/4/2013,"$125,000 "
50467170,9/7/2007,"$170,000 "
