"","num","A_Year_Built","A_Construction_Quality","A_Building_Condition","A_HVAC","A_Building_Type","A_Gross_Building_Area","A_Net_Leaseable_Area"
"1",50299410,"","UNKNOWN","UNKNOWN","","","1","0"
"2",50299400,"","UNKNOWN","UNKNOWN","","","1","0"
"3",50466800,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"4",50466810,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"5",50466820,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"6",50466830,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"7",50466840,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"8",50466850,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"9",50466860,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"10",50466870,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"11",50466880,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"12",50466890,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"13",50466900,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"14",50466910,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"15",50466920,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"16",50466930,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"17",50466940,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"18",50466950,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"19",50466960,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"20",50466970,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"21",50466980,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
